brand,product_name,shipping 
EVGA, EVGA GeForce RTX 2070 SUPER BLACK GAMING| 08G-P4-3071-KR, $4.99 Shipping
ASUS, ASUS ROG STRIX GeForce GTX 1060 DirectX 12 ROG-STRIX-GTX1060-A6G-GAMING Video Card, Free Shipping
GIGABYTE, GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card| GV-R57XTGAMING OC-8GD, Free Shipping
XFX, XFX RS XXX Edition Radeon RX 570 DirectX 12 RX-570P427D6 4GB OC+ 1284 MHz XFX Custom Backplate 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card, Free Shipping
MSI, MSI GeForce GTX 1660 DirectX 12 GTX 1660 VENTUS XS 6G OC Video Card, Free Shipping
Sapphire Tech, Sapphire PULSE Radeon RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI)| 100411P8GOCL, Free Shipping
MSI, MSI Radeon RX 5700 DirectX 12 RX 5700 EVOKE OC Video Card, Free Shipping
XFX, XFX Radeon VII DirectX 12 RX-VEGMA3FD6 Video Card, Free Shipping
GIGABYTE, GIGABYTE GeForce RTX 2080 Super WINDFORCE OC 8G Graphics Card| GV-N208SWF3OC-8GD, Free Shipping
ASUS, ASUS ROG Strix Radeon RX 570 O4G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (ROG-STRIX-RX570-O4G-GAMING), Free Shipping
ASRock, ASRock Challenger D Radeon RX 5500 XT DirectX 12 RX5500XT CLD 4GO Video Card, $3.99 Shipping
EVGA, EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2384-KR XC HYBRID GAMING| 11GB GDDR6| HYBRID & RGB LED, $3.99 Shipping
